"Código Pagamento";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Pago (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"153045152242024OB000016";"153045152242023NE000010";"31901145";"FERIAS - 1/3 CONSTITUCIONAL";"0,00";"0,00";"0,00";"12386866,42"
"153045152242024OB000016";"153045152242023NE000020";"33904901";"AUXILIO-TRANSPORTE CIVIS";"0,00";"0,00";"0,00";"25554,47"
"153045152242024OB000016";"153045152242023NE000009";"31900406";"ADICIONAL DE INSALUBRIDADE - CONTRATO TEMPORARIO";"0,00";"0,00";"0,00";"4343,28"
"153045152242024OB000016";"153045152242023NE000009";"31900414";"FERIAS - ABONO CONSTITUCIONAL - CONTRATO TEMPORARIO";"0,00";"0,00";"0,00";"15043,32"
"153045152242024OB000016";"153045152242023NE000422";"33909208";"OUTROS BENEF.ASSIST.DO SERVIDOR E DO MILITAR";"0,00";"0,00";"0,00";"27348,67"
"153045152242024OB000016";"153045152242023NE000009";"31900405";"ADICIONAL DE PERICULOSIDADE - CONTRATO TEMPORARIO";"0,00";"0,00";"0,00";"439,08"
"153045152242024OB000016";"153045152242023NE000018";"33900809";"AUXILIO-CRECHE CIVIL";"0,00";"0,00";"0,00";"213481,05"
"153045152242024OB000016";"153045152242023NE000016";"33904601";"AUXILIO-ALIMENTACAO CIVIS";"0,00";"0,00";"0,00";"2819574,66"
"153045152242024OB000016";"153045152242023NE000098";"31909211";"VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL";"0,00";"0,00";"0,00";"10465,49"
"153045152242024OB000016";"153045152242023NE000017";"33900422";"AUXILIO-CRECHE";"0,00";"0,00";"0,00";"3900,15"
"153045152242024OB000016";"153045152242023NE000010";"31901141";"GRATIFICACAO POR ATIVIDADES EXPOSTAS";"0,00";"0,00";"0,00";"1615,67"
"153045152242024OB000016";"153045152242023NE000022";"33900805";"AUXILIO NATALIDADE ATIVO CIVIL";"0,00";"0,00";"0,00";"2096,41"
"153045152242024OB000016";"153045152242023NE000010";"31901136";"GRATIFICACAO P/EXERCICIO DE CARGO EM COMISSAO";"0,00";"0,00";"0,00";"612638,97"
"153045152242024OB000017";"153045152242023NE000023";"33905901";"PENS.INDENIZ.ORIUND.DEB.PERIOD.VINC.SENT.JUD";"0,00";"0,00";"0,00";"5821,00"
"153045152242024OB000018";"153045152242023NE000005";"31900101";"PROVENTOS - PESSOAL CIVIL";"0,00";"0,00";"0,00";"1178696,08"
"153045152242024OB000019";"153045152242023NE000005";"31900109";"ADICIONAL POR TEMPO DE SERVICO PESSOAL CIVIL";"0,00";"0,00";"0,00";"3201889,69"
"153045152242024OB000019";"153045152242023NE000005";"31900187";"COMPLEMENTACAO DE APOSENTADORIAS - PES CIVIL";"0,00";"0,00";"0,00";"59817,81"
"153045152242024OB000019";"153045152242023NE000008";"31909115";"SENT.JUD.NAO TRANS JULG CARAT CONT INAT CIVIL";"0,00";"0,00";"0,00";"731715,76"
"153045152242024OB000019";"153045152242023NE000007";"31900301";"PENSOES CIVIS";"0,00";"0,00";"0,00";"3976890,57"
"153045152242024OB000019";"153045152242023NE000008";"31909116";"SENT.JUD.NAO TRANS.JULG CARAT CONT PENS CIVIL";"0,00";"0,00";"0,00";"150664,07"
"153045152242024OB000019";"153045152242023NE001492";"31900107";"FERIAS VENCIDAS E PROPOR A APOSENTADOS CIVIS";"0,00";"0,00";"0,00";"82305,99"
"153045152242024OB000019";"153045152242023NE000007";"31900303";"13 SALARIO - PENSOES CIVIS";"0,00";"0,00";"0,00";"29631,54"
"153045152242024OB000019";"153045152242023NE000005";"31900134";"VANTAGENS PERMANENTES SENT.TRANSIT.JULG.CIVIL";"0,00";"0,00";"0,00";"671459,91"
"153045152242024OB000019";"153045152242023NE000005";"31900116";"APOSENT ORIGINARIA DE SUBSIDIOS - PESSOAL CIV";"0,00";"0,00";"0,00";"273434,55"
"153045152242024OB000020";"153045152242023NE000005";"31900106";"13 SALARIO - PESSOAL CIVIL";"0,00";"0,00";"0,00";"85332,80"
"153045152242024OB000020";"153045152242023NE000007";"31900301";"PENSOES CIVIS";"0,00";"0,00";"0,00";"426774,37"
"153045152242024OB000020";"153045152242023NE000247";"31909203";"PENSOES DO RPPS E DO MILITAR";"0,00";"0,00";"0,00";"2284,79"
"153045152242024OB000020";"153045152242023NE000005";"31900101";"PROVENTOS - PESSOAL CIVIL";"0,00";"0,00";"0,00";"6916135,96"
"153045152242024OB000020";"153045152242023NE000007";"31900310";"VANTAGENS PERM.SENT.JUD.TRANS.JULGADO - CIVIL";"0,00";"0,00";"0,00";"8675,73"
"153045152242024OB000020";"153045152242023NE000007";"31900386";"COMPLEMENTACAO DE PENSOES - PESSOAL CIVIL";"0,00";"0,00";"0,00";"515202,99"
"153045152242024OB000021";"153045152242023NE001495";"33904903";"AUXILIO-TRANSPORTE ESTAGIARIOS";"0,00";"0,00";"0,00";"920,00"
"153045152242024OB000021";"153045152242023NE000116";"33903628";"GRATIFICACAO POR ENCARGO DE CURSO E CONCURSO - GECC";"0,00";"0,00";"0,00";"55264,13"
"153045152242024OB000021";"153045152242023NE000131";"33904806";"RESIDENCIA MEDICA";"0,00";"0,00";"0,00";"69013,98"
"153045152242024OB000021";"153045152242023NE000122";"33903607";"ESTAGIARIOS";"0,00";"0,00";"0,00";"3151,92"
"153045152242024OB000022";"153045152242023NE000131";"33904806";"RESIDENCIA MEDICA";"0,00";"0,00";"0,00";"125559,26"
"153045152242024OB000023";"153045152242023NE001492";"31900107";"FERIAS VENCIDAS E PROPOR A APOSENTADOS CIVIS";"0,00";"0,00";"0,00";"100245,37"
"153045152242024OB000023";"153045152242023NE000005";"31900101";"PROVENTOS - PESSOAL CIVIL";"0,00";"0,00";"0,00";"2625499,88"
"153045152242024OB000023";"153045152242023NE000131";"33904806";"RESIDENCIA MEDICA";"0,00";"0,00";"0,00";"46618,48"
"153045152242024OB000024";"153045152242023NE001944";"33903943";"SERVICOS DE ENERGIA ELETRICA";"0,00";"0,00";"0,00";"157914,37"
"153045152242024OB000025";"153045152242023NE000478";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"5200,00"
"153045152242024OB000025";"153045152242023NE001413";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"4600,00"
"153045152242024OB000026";"153045152242023NE001212";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"18660,00"
"153045152242024OB000027";"153045152242023NE001980";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"62300,00"
"153045152242024OB000028";"153045152242023NE000485";"33904801";"AUXILIO A PESSOAS FISICAS";"0,00";"0,00";"0,00";"800,00"
"153045152242024OB000029";"153045152242023NE001451";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"14000,00"
"153045152242024OB000030";"153045152242023NE000072";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"1042924,00"
"153045152242024OB000030";"153045152242023NE001451";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"16176,00"
"153045152242024OB000031";"153045152242023NE000072";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"5600,00"
"153045152242024OB000032";"153045152242023NE001295";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"210648,00"
"153045152242024OB000033";"153045152242023NE001265";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"66500,00"
"153045152242024OB000034";"153045152242023NE000044";"33904801";"AUXILIO A PESSOAS FISICAS";"0,00";"0,00";"0,00";"2200,00"
"153045152242024OB000035";"153045152242023NE001655";"33903701";"APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"16771,00"
"153045152242024OB000036";"153045152242023NE001348";"33904801";"AUXILIO A PESSOAS FISICAS";"0,00";"0,00";"0,00";"6600,00"
"153045152242024OB000037";"153045152242023NE000043";"33902001";"AUXILIO A PESQUISADORES";"0,00";"0,00";"0,00";"52800,00"
"153045152242024OB000038";"153045152242023NE000088";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"16017,00"
"153045152242024OB000039";"153045152242023NE001630";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"444500,00"
"153045152242024OB000040";"153045152242023NE001630";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"3500,00"
"153045152242024OB000041";"153045152242023NE001630";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"1400,00"
"153045152242024OB000042";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"20516,13"
"153045152242024OB000043";"153045152242023NE000091";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"20500,00"
"153045152242024OB000043";"153045152242023NE001414";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"7500,00"
"153045152242024OB000044";"153045152242023NE000100";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"1058330,00"
"153045152242024OB000045";"153045152242023NE000321";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"700,00"
"153045152242024OB000045";"153045152242023NE000320";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"700,00"
"153045152242024OB000046";"153045152242023NE000265";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"9100,00"
"153045152242024OB000047";"153045152242023NE000092";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"800,00"
"153045152242024OB000048";"153045152242023NE000531";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"9800,00"
"153045152242024OB000049";"153045152242023NE001994";"33904801";"AUXILIO A PESSOAS FISICAS";"0,00";"0,00";"0,00";"3200,00"
"153045152242024OB000050";"153045152242023NE000488";"33904801";"AUXILIO A PESSOAS FISICAS";"0,00";"0,00";"0,00";"5400,00"
"153045152242024OB000050";"153045152242023NE000192";"33904801";"AUXILIO A PESSOAS FISICAS";"0,00";"0,00";"0,00";"2400,00"
"153045152242024OB000051";"153045152242023NE001979";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"13300,00"
"153045152242024OB000052";"153045152242023NE001637";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"218400,00"
"153045152242024OB000053";"153045152242023NE001609";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"184100,00"
"153045152242024OB000054";"153045152242023NE000170";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"6300,00"
"153045152242024OB000055";"153045152242023NE001267";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"17688,00"
"153045152242024OB000056";"153045152242023NE000081";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"2812,00"
"153045152242024OB000057";"153045152242023NE001226";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"1400,00"
"153045152242024OB000058";"153045152242023NE001583";"33903607";"ESTAGIARIOS";"0,00";"0,00";"0,00";"1400,00"
"153045152242024OB000059";"153045152242023NE000071";"33901804";"AUXILIOS PARA DESENV. DE ESTUDOS E PESQUISAS";"0,00";"0,00";"0,00";"630,00"
"153045152242024OB000060";"153045152242023NE000168";"33902001";"AUXILIO A PESQUISADORES";"0,00";"0,00";"0,00";"1126,00"
"153045152242024OB000061";"153045152242023NE000167";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"7000,00"
"153045152242024OB000062";"153045152242023NE000303";"33901801";"BOLSAS DE ESTUDO NO PAIS";"0,00";"0,00";"0,00";"3500,00"
"153045152242024OB000063";"153045152242023NE000254";"33904006";"LOCACAO DE SOFTWARES";"0,00";"0,00";"0,00";"14387,30"
"153045152242024OB000064";"153045152242023NE000504";"33902001";"AUXILIO A PESQUISADORES";"0,00";"0,00";"0,00";"3000,00"
"153045152242024OB000065";"153045152242023NE001498";"33903014";"MATERIAL EDUCATIVO E ESPORTIVO";"0,00";"0,00";"0,00";"4236,20"
"153045152242024OB000066";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"1602,22"
"153045152242024OB000067";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"20551,60"
"153045152242024OB000068";"153045152242023NE001881";"33903701";"APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"274666,92"
"153045152242024OB000069";"153045152242023NE000097";"33903704";"MANUTENCAO E CONSERVACAO DE BENS IMOVEIS";"0,00";"0,00";"0,00";"1236,63"
"153045152242024OB000070";"153045152242023NE001903";"33903704";"MANUTENCAO E CONSERVACAO DE BENS IMOVEIS";"0,00";"0,00";"0,00";"15661,58"
"153045152242024OB000070";"153045152242023NE000097";"33903704";"MANUTENCAO E CONSERVACAO DE BENS IMOVEIS";"0,00";"0,00";"0,00";"7521,00"
"153045152242024OB000071";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"25855,02"
"153045152242024OB000072";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"1650,45"
"153045152242024OB000073";"153045152242023NE000058";"33903958";"SERVICOS DE TELECOMUNICACOES";"0,00";"0,00";"0,00";"1757,84"
"153045152242024OB000074";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"26845,11"
"153045152242024OB000075";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"20551,59"
"153045152242024OB000076";"153045152242023NE001903";"33903704";"MANUTENCAO E CONSERVACAO DE BENS IMOVEIS";"0,00";"0,00";"0,00";"33327,77"
"153045152242024OB000077";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"1602,22"
"153045152242024OB000078";"153045152242023NE000056";"33903615";"LOCACAO DE IMOVEIS";"0,00";"0,00";"0,00";"15369,36"
"153045152242024OB000079";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"1650,45"
"153045152242024OB000080";"153045152242023NE002060";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"0,00";"1000,00"
"153045152242024OB000081";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"26845,10"
"153045152242024OB000082";"153045152242023NE001619";"33903948";"SERVICO DE SELECAO E TREINAMENTO";"0,00";"0,00";"0,00";"5740,00"
"153045152242024OB000083";"153045152242023NE001428";"33904013";"COMUNICACAO DE DADOS E REDES EM GERAL";"0,00";"0,00";"0,00";"2149,41"
"153045152242024OB000084";"153045152242023NE000125";"33903979";"SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"340648,59"
"153045152242024OB000085";"153045152242023NE001770";"33904006";"LOCACAO DE SOFTWARES";"0,00";"0,00";"0,00";"905,50"
"153045152242024OB000086";"153045152242023NE001331";"33903979";"SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"102095,40"
"153045152242024OB000087";"153045152242023NE001966";"33904722";"CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA";"0,00";"0,00";"0,00";"6665,93"
"153045152242024OB000087";"153045152242023NE001888";"33903943";"SERVICOS DE ENERGIA ELETRICA";"0,00";"0,00";"0,00";"64534,29"
"153045152242024OB000087";"153045152242023NE000062";"33904722";"CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA";"0,00";"0,00";"0,00";"33,99"
"153045152242024OB000087";"153045152242023NE000061";"33903943";"SERVICOS DE ENERGIA ELETRICA";"0,00";"0,00";"0,00";"6055,25"
"153045152242024OB000087";"153045152242023NE001434";"33903943";"SERVICOS DE ENERGIA ELETRICA";"0,00";"0,00";"0,00";"7885,67"
"153045152242024OB000088";"153045152242023NE001331";"33903979";"SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"143661,00"
"153045152242024OB000089";"153045152242023NE001234";"33904722";"CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA";"0,00";"0,00";"0,00";"348,14"
"153045152242024OB000089";"153045152242023NE001232";"33903943";"SERVICOS DE ENERGIA ELETRICA";"0,00";"0,00";"0,00";"560985,24"
"153045152242024OB000089";"153045152242023NE001052";"33904722";"CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA";"0,00";"0,00";"0,00";"1,55"
"153045152242024OB000089";"153045152242023NE001044";"33903943";"SERVICOS DE ENERGIA ELETRICA";"0,00";"0,00";"0,00";"66919,12"
"153045152242024OB000090";"153045152242023NE001229";"33903001";"COMBUSTIVEIS E LUBRIFICANTES AUTOMOTIVOS";"0,00";"0,00";"0,00";"47853,79"
"153045152242024OB000091";"153045152242023NE001439";"33904722";"CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA";"0,00";"0,00";"0,00";"5995,28"
"153045152242024OB000091";"153045152242023NE001888";"33903943";"SERVICOS DE ENERGIA ELETRICA";"0,00";"0,00";"0,00";"61460,85"
"153045152242024OB000092";"153045152242023NE001872";"33904012";"MANUTENCAO E CONSERVACAO DE EQUIPAMENTOS DE TIC";"0,00";"0,00";"0,00";"23819,42"
"153045152242024OB000093";"153045152242023NE001892";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"149903,99"
"153045152242024OB000094";"153045152242023NE001965";"33903941";"FORNECIMENTO DE ALIMENTACAO";"0,00";"0,00";"0,00";"793870,30"
"153045152242024OB000095";"153045152242023NE001892";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"2384,39"
"153045152242024OB000096";"153045152242023NE001892";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"168,41"
"153045152242024OB000097";"153045152242023NE001902";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"15329,05"
"153045152242024OB000098";"153045152242023NE001651";"33903701";"APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"33345,29"
"153045152242024OB000099";"153045152242023NE001704";"33903941";"FORNECIMENTO DE ALIMENTACAO";"0,00";"0,00";"0,00";"8853,81"
"153045152242024OB000100";"153045152242023NE001185";"33903917";"MANUT. E CONSERV. DE MAQUINAS E EQUIPAMENTOS";"0,00";"0,00";"0,00";"17369,30"
"153045152242024OB000101";"153045152242023NE001890";"33903944";"SERVICOS DE AGUA E ESGOTO";"0,00";"0,00";"0,00";"18506,48"
"153045152242024OB000102";"153045152242023NE000733";"44905208";"APAR.EQUIP.UTENS.MED.,ODONT,LABOR.HOSPIT.";"0,00";"0,00";"0,00";"2760,00"
"153045152242024OB000103";"153045152242023NE001655";"33903701";"APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"6703,98"
"153045152242024OB000104";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"3653,61"
"153045152242024OB000105";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"3718,19"
"153045152242024OB000106";"153045152242023NE001881";"33903701";"APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"73415,51"
"153045152242024OB000107";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"4696,68"
"153045152242024OB000108";"153045152242023NE000097";"33903704";"MANUTENCAO E CONSERVACAO DE BENS IMOVEIS";"0,00";"0,00";"0,00";"3146,27"
"153045152242024OB000109";"153045152242023NE001903";"33903704";"MANUTENCAO E CONSERVACAO DE BENS IMOVEIS";"0,00";"0,00";"0,00";"4488,40"
"153045152242024OB000110";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"4835,55"
"153045152242024OB000111";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"3718,19"
"153045152242024OB000112";"153045152242023NE001948";"33903703";"VIGILANCIA OSTENSIVA";"0,00";"0,00";"0,00";"4835,55"
"153045152242024OB000113";"153045152242023NE001892";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"444,92"
"153045152242024OB000114";"153045152242023NE001892";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"19183,35"
"153045152242024OB000115";"153045152242023NE001902";"33903702";"LIMPEZA E CONSERVACAO";"0,00";"0,00";"0,00";"2998,23"
"153045152242024OB000116";"153045152242023NE001651";"33903701";"APOIO ADMINISTRATIVO, TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"8770,94"
"153045152242024OB000117";"153045152242022NE001099";"44905191";"OBRAS EM ANDAMENTO";"0,00";"0,00";"0,00";"57509,64"
"153045152242024OB000118";"153045152242022NE001240";"33903979";"SERV. DE APOIO ADMIN., TECNICO E OPERACIONAL";"0,00";"0,00";"0,00";"37833,33"
"153046152252024OB000005";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"304788,47"
"153046152252024OB000006";"153046152252023NE000021";"31901101";"VENCIMENTOS E SALARIOS";"0,00";"0,00";"0,00";"76563,87"
"153046152252024OB000007";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"1399072,37"
"153046152252024OB000008";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"30813,50"
"153046152252024OB000009";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"29410,93"
"153046152252024OB000010";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"7766,57"
"153046152252024OB000011";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"27970,07"
"153046152252024OB000012";"153046152252023NE000017";"31900706";"CONTRIBUICAO PATRONAL - FUNPRESP LEI 12618/12";"0,00";"0,00";"0,00";"279855,55"
"153046152252024OB000013";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"60567,64"
"153046152252024OB000014";"153046152252023NE000021";"31901101";"VENCIMENTOS E SALARIOS";"0,00";"0,00";"0,00";"367670,42"
"153046152252024OB000015";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"8821,95"
"153046152252024OB000016";"153046152252023NE000024";"33909308";"RESSARCIMENTO ASSISTENCIA MEDICA/ODONTOLOGICA";"0,00";"0,00";"0,00";"11871,76"
"153046152252024OB000017";"153046152252023NE000024";"33909308";"RESSARCIMENTO ASSISTENCIA MEDICA/ODONTOLOGICA";"0,00";"0,00";"0,00";"4173,23"
"153046152252024OB000018";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"1682,99"
"153046152252024OB000019";"153046152252023NE000010";"31909602";"PESSOAL REQUISITADO DE OUTROS ENTES";"0,00";"0,00";"0,00";"6834,42"
"153046152252024OB000020";"153046152252023NE000021";"31901101";"VENCIMENTOS E SALARIOS";"0,00";"0,00";"0,00";"1461294,57"
"153046152252024OB000021";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"188,44"
"153046152252024OB000022";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"209724,82"
"153046152252024OB000023";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"30406,00"
"153046152252024OB000024";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"4495,45"
"153046152252024OB000025";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"1414,48"
"153046152252024OB000026";"153046152252023NE000021";"31901101";"VENCIMENTOS E SALARIOS";"0,00";"0,00";"0,00";"9527,72"
"153046152252024OB000027";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"175887,91"
"153046152252024OB000028";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"26102,96"
"153046152252024OB000029";"153046152252023NE000021";"31901106";"VANTAGENS PERM.SENT.JUD.TRANS.JULGADO - CIVIL";"0,00";"0,00";"0,00";"12444,55"
"153046152252024OB000029";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"311684,85"
"153046152252024OB000029";"153046152252023NE000021";"31901101";"VENCIMENTOS E SALARIOS";"0,00";"0,00";"0,00";"821412,12"
"153046152252024OB000030";"153046152252023NE001135";"33903943";"SERVICOS DE ENERGIA ELETRICA";"0,00";"0,00";"0,00";"502853,19"
"153046152252024OB000030";"153046152252023NE001136";"33904722";"CONTRIBUICAO P/ CUSTEIO DE ILUMINACAO PUBLICA";"0,00";"0,00";"0,00";"354,62"
"153046152252024OB000030";"153046152252023NE002220";"33903943";"SERVICOS DE ENERGIA ELETRICA";"0,00";"0,00";"0,00";"69080,93"
"153046152252024OB000031";"153046152252023NE000021";"31901143";"13º SALARIO";"0,00";"0,00";"0,00";"132109,40"
"153046152252024OB000031";"153046152252023NE001737";"31900101";"PROVENTOS - PESSOAL CIVIL";"0,00";"0,00";"0,00";"2930232,68"
"153046152252024OB000031";"153046152252023NE000021";"31901145";"FERIAS - 1/3 CONSTITUCIONAL";"0,00";"0,00";"0,00";"1602936,19"
"153046152252024OB000031";"153046152252023NE001513";"31900187";"COMPLEMENTACAO DE APOSENTADORIAS - PES CIVIL";"0,00";"0,00";"0,00";"32334,87"
"153046152252024OB000031";"153046152252023NE000021";"31901146";"FERIAS - PAGAMENTO ANTECIPADO";"0,00";"0,00";"0,00";"302386,86"
"153046152252024OB000032";"153046152252023NE000021";"31901143";"13º SALARIO";"0,00";"0,00";"0,00";"5000000,00"
"153046152252024OB000033";"153046152252023NE000021";"31901131";"GRATIFICACAO POR EXERCICIO DE CARGO EFETIVO";"0,00";"0,00";"0,00";"5000000,00"
"153046152252024OB000034";"153046152252023NE000021";"31901145";"FERIAS - 1/3 CONSTITUCIONAL";"0,00";"0,00";"0,00";"5000000,00"
"153046152252024OB000035";"153046152252023NE000006";"31901632";"SUBSTITUICOES";"0,00";"0,00";"0,00";"51249,60"
"153046152252024OB000035";"153046152252023NE000003";"31900101";"PROVENTOS - PESSOAL CIVIL";"0,00";"0,00";"0,00";"1852253,60"
