"Código Liquidação";"Código Empenho";"Código Natureza Despesa Completa";"Subitem";"Valor Liquidado (R$)";"Valor Restos a Pagar Inscritos (R$)";"Valor Restos a Pagar Cancelado (R$)";"Valor Restos a Pagar Pagos (R$)"
"155001152752024NS002528";"155001152752023NE034108";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002528";"155001152752023NE027052";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002529";"155001152752023NE034104";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002529";"155001152752023NE033872";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002529";"155001152752023NE028723";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002529";"155001152752023NE025129";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002530";"155001152752023NE025501";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002531";"155001152752023NE035478";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002531";"155001152752023NE032753";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002531";"155001152752023NE031527";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002531";"155001152752023NE026078";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002532";"155001152752023NE031521";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002533";"155001152752023NE031530";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002533";"155001152752023NE031525";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002534";"155001152752023NE034570";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002534";"155001152752023NE033181";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002535";"155001152752023NE031183";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002536";"155001152752024NE000060";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"1990,00";"0,00";"0,00";"0,00"
"155001152752024NS002537";"155001152752023NE035745";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002538";"155001152752023NE032736";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002539";"155001152752023NE030231";"33903022";"MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002540";"155001152752023NE035737";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002541";"155001152752023NE035750";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002542";"155001152752023NE035749";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS002543";"155001152752024NE000045";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"2650,00";"0,00";"0,00";"0,00"
"155001152752024NS002544";"155001152752024NE000045";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"2650,00";"0,00";"0,00";"0,00"
"155001152752024NS003390";"155001152752023NE035319";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003391";"155001152752023NE035374";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003392";"155001152752023NE029625";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003393";"155001152752023NE035356";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003394";"155001152752023NE035243";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003395";"155001152752023NE029598";"33903035";"MATERIAL LABORATORIAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003396";"155001152752023NE029791";"33903035";"MATERIAL LABORATORIAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003397";"155001152752023NE029810";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003398";"155001152752023NE035228";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003399";"155001152752023NE035679";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003400";"155001152752023NE029810";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003401";"155001152752023NE029803";"33903035";"MATERIAL LABORATORIAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003402";"155001152752023NE035466";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003403";"155001152752023NE035539";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003404";"155001152752023NE035339";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003405";"155001152752023NE035321";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003406";"155001152752023NE035519";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003407";"155001152752023NE035505";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003408";"155001152752023NE035462";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003409";"155001152752023NE035304";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003410";"155001152752023NE035508";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003411";"155001152752023NE035505";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003412";"155001152752023NE035502";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003413";"155001152752023NE035503";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003414";"155001152752023NE035505";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003415";"155001152752023NE035503";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003416";"155001152752023NE035501";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003417";"155001152752023NE035500";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003418";"155001152752023NE035503";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003419";"155001152752023NE035511";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003420";"155001152752023NE035507";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003421";"155001152752023NE035500";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003422";"155001152752023NE035366";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003423";"155001152752023NE029655";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003424";"155001152752023NE035651";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003425";"155001152752023NE035658";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003426";"155001152752023NE035510";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003427";"155001152752023NE035658";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003428";"155001152752023NE029719";"33903035";"MATERIAL LABORATORIAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003429";"155001152752023NE035663";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003430";"155001152752023NE035575";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003431";"155001152752023NE035629";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003432";"155001152752023NE035628";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003433";"155001152752023NE035335";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003434";"155001152752023NE035544";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003435";"155001152752023NE035456";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003436";"155001152752023NE035506";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003437";"155001152752023NE035506";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003438";"155001152752023NE035683";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003439";"155001152752023NE035707";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003440";"155001152752023NE035659";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003441";"155001152752023NE035630";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003442";"155001152752023NE035684";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003443";"155001152752023NE035651";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003444";"155001152752023NE035651";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003445";"155001152752023NE035651";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003446";"155001152752023NE035658";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003447";"155001152752023NE035658";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003448";"155001152752023NE035628";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003449";"155001152752023NE035456";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003450";"155001152752023NE035504";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003451";"155001152752023NE035498";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003452";"155001152752023NE035499";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003453";"155001152752023NE035499";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003454";"155001152752023NE030851";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003455";"155001152752023NE035657";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003456";"155001152752023NE035648";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003457";"155001152752023NE035650";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003458";"155001152752023NE035350";"33903004";"GAS E OUTROS MATERIAIS ENGARRAFADOS";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003459";"155001152752023NE035709";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003460";"155001152752023NE035522";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003461";"155001152752023NE030434";"33903035";"MATERIAL LABORATORIAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003462";"155001152752023NE035308";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003463";"155001152752023NE030655";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003464";"155001152752023NE030532";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003465";"155001152752023NE035263";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003466";"155001152752023NE035645";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003467";"155001152752023NE035646";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003468";"155001152752023NE035660";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003469";"155001152752023NE035664";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003470";"155001152752023NE035654";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003471";"155001152752023NE035707";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003472";"155001152752023NE035367";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003473";"155001152752023NE035682";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003474";"155001152752023NE035687";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003475";"155001152752023NE035450";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003476";"155001152752023NE035450";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003477";"155001152752023NE035340";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003478";"155001152752023NE035699";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003479";"155001152752023NE035488";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003480";"155001152752023NE030201";"33903035";"MATERIAL LABORATORIAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003481";"155001152752023NE035518";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003482";"155001152752023NE029950";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003483";"155001152752023NE035546";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003484";"155001152752023NE030207";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003485";"155001152752023NE035546";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003486";"155001152752023NE035546";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003487";"155001152752023NE035652";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003582";"155001152752023NE035456";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003583";"155001152752023NE035660";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003584";"155001152752023NE035661";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003585";"155001152752023NE035454";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003586";"155001152752023NE029625";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003587";"155001152752023NE029625";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003588";"155001152752023NE029622";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003589";"155001152752023NE035690";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003590";"155001152752023NE035655";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003591";"155001152752023NE035330";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003592";"155001152752023NE035626";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003593";"155001152752023NE035452";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003594";"155001152752023NE035454";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003595";"155001152752023NE035662";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003596";"155001152752023NE035625";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003597";"155001152752023NE035509";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003598";"155001152752023NE035272";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003599";"155001152752023NE035686";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003600";"155001152752023NE035497";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003600";"155001152752023NE035495";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003600";"155001152752023NE035494";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003601";"155001152752023NE035496";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS003601";"155001152752023NE035494";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS004409";"155001152752023NE510663";"33904806";"RESIDENCIA MEDICA";"0,00";"0,00";"6,47";"0,00"
"155001152752024NS005562";"155001152752023NE023556";"33903905";"SERVICOS TECNICOS PROFISSIONAIS";"0,00";"0,00";"761,38";"0,00"
"155001152752024NS005624";"155001152752024NE000303";"33913035";"MATERIAL LABORATORIAL";"4451,39";"0,00";"0,00";"0,00"
"155001152752024NS006134";"155001152752023NE030290";"33903025";"MATERIAL P/ MANUTENCAO DE BENS MOVEIS";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS006135";"155001152752023NE035546";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS006224";"155001152752023NE023407";"33903025";"MATERIAL P/ MANUTENCAO DE BENS MOVEIS";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS006534";"155001152752024NE001239";"33903009";"MATERIAL FARMACOLOGICO";"0,01";"0,00";"0,00";"0,00"
"155001152752024NS006534";"155001152752023NE035760";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS006535";"155001152752024NE001240";"33903009";"MATERIAL FARMACOLOGICO";"0,05";"0,00";"0,00";"0,00"
"155001152752024NS006535";"155001152752023NE033858";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS009878";"155001152752023NE035546";"33903007";"GENEROS DE ALIMENTACAO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS010267";"155001152752023NE035543";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155001152752024NS010629";"155001152752024NE635708";"33903009";"MATERIAL FARMACOLOGICO";"8266,37";"0,00";"0,00";"0,00"
"155007264432024NS000011";"155007264432023NE000005";"31909401";"INDENIZACOES E RESTITUICOES TRAB. ATIVO CIVIL";"0,00";"0,00";"0,00";"0,00"
"155007264432024NS000014";"155007264432023NE000005";"31909401";"INDENIZACOES E RESTITUICOES TRAB. ATIVO CIVIL";"0,00";"0,00";"0,00";"0,00"
"155007264432024NS000017";"155007264432023NE000005";"31909401";"INDENIZACOES E RESTITUICOES TRAB. ATIVO CIVIL";"0,00";"0,00";"0,00";"0,00"
"155007264432024NS000018";"155007264432023NE000005";"31909401";"INDENIZACOES E RESTITUICOES TRAB. ATIVO CIVIL";"0,00";"0,00";"0,00";"0,00"
"155007264432024NS000019";"155007264432023NE000005";"31909401";"INDENIZACOES E RESTITUICOES TRAB. ATIVO CIVIL";"0,00";"0,00";"0,00";"0,00"
"155007264432024NS000022";"155007264432023NE000005";"31909401";"INDENIZACOES E RESTITUICOES TRAB. ATIVO CIVIL";"0,00";"0,00";"0,00";"0,00"
"155007264432024NS000024";"155007264432023NE000005";"31909401";"INDENIZACOES E RESTITUICOES TRAB. ATIVO CIVIL";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000020";"155011264432023NE003183";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000044";"155011264432023NE002794";"33903016";"MATERIAL DE EXPEDIENTE";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000046";"155011264432023NE003280";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000051";"155011264432023NE001850";"33903041";"MATERIAL P/ UTILIZACAO EM GRAFICA";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000052";"155011264432023NE003150";"33903041";"MATERIAL P/ UTILIZACAO EM GRAFICA";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000075";"155011264432023NE003215";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000083";"155011264432023NE003389";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000097";"155011264432023NE002661";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000102";"155011264432023NE003199";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000105";"155011264432023NE003391";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000107";"155011264432023NE003393";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000111";"155011264432023NE003191";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000117";"155011264432023NE003235";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000120";"155011264432023NE003210";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000129";"155011264432023NE003440";"33903009";"MATERIAL FARMACOLOGICO";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000149";"155011264432023NE003350";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000162";"155011264432023NE003350";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000166";"155011264432023NE003350";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000168";"155011264432023NE003350";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000169";"155011264432023NE003322";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000170";"155011264432023NE003324";"33903043";"MATERIAL P/ REABILITACAO PROFISSIONAL";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000171";"155011264432023NE003305";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000196";"155011264432023NE003162";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000197";"155011264432023NE002780";"33903011";"MATERIAL QUIMICO";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000199";"155011264432023NE002961";"33903011";"MATERIAL QUIMICO";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000202";"155011264432023NE003229";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000205";"155011264432023NE002563";"33903036";"MATERIAL HOSPITALAR";"0,00";"0,00";"0,00";"0,00"
"155011264432024NS000206";"155011264432023NE002200";"33903011";"MATERIAL QUIMICO";"0,00";"0,00";"0,00";"0,00"
